#r-i 					  g-r 						i-z 
-2.513780487804875285e-01 -2.913470638257182888e-01 -1.649230045798128208e-01
-2.503780487804875277e-01 -2.898913049696897337e-01 -1.640325397608547731e-01
-2.493780487804875268e-01 -2.884355461136611232e-01 -1.631420749418967253e-01
-2.483780487804875259e-01 -2.869797872576325126e-01 -1.622516101229387053e-01
-2.473780487804875250e-01 -2.854298571991368827e-01 -1.613611453039806576e-01
-2.463780487804875241e-01 -2.837321223925070579e-01 -1.604706804850226098e-01
-2.453780487804875232e-01 -2.820343875858772331e-01 -1.595802156660645621e-01
-2.443780487804875223e-01 -2.803366527792473528e-01 -1.586897508471065421e-01
-2.433780487804875214e-01 -2.786389179726175280e-01 -1.577992860281484944e-01
-2.423780487804875206e-01 -2.769411831659877032e-01 -1.569088212091904744e-01
-2.413780487804875197e-01 -2.752434483593578785e-01 -1.560183563902324266e-01
-2.403780487804875188e-01 -2.735457135527280537e-01 -1.551278915712743789e-01
-2.393780487804875179e-01 -2.718479787460981734e-01 -1.542374267523163311e-01
-2.383780487804875170e-01 -2.701502439394683486e-01 -1.533469619333583112e-01
-2.373780487804875161e-01 -2.684525091328385238e-01 -1.524564971144002634e-01
-2.363780487804875152e-01 -2.667547743262086990e-01 -1.515660322954422434e-01
-2.353780487804875143e-01 -2.650570395195788742e-01 -1.506755674764841957e-01
-2.343780487804875134e-01 -2.633593047129489939e-01 -1.497851026575261479e-01
-2.333780487804875126e-01 -2.616615699063191691e-01 -1.488946378385681002e-01
-2.323780487804875117e-01 -2.599638350996893443e-01 -1.480041730196100802e-01
-2.313780487804875108e-01 -2.582661002930595195e-01 -1.471411417986870085e-01
-2.303780487804875099e-01 -2.565683654864296948e-01 -1.464346630990842613e-01
-2.293780487804875090e-01 -2.548706306797998145e-01 -1.457281843994814863e-01
-2.283780487804875081e-01 -2.531728958731699897e-01 -1.450217056998787390e-01
-2.273780487804875072e-01 -2.514751610665401649e-01 -1.443152270002759918e-01
-2.263780487804875063e-01 -2.497774262599103401e-01 -1.436087483006732168e-01
-2.253780487804875055e-01 -2.481114235672190749e-01 -1.429022696010704696e-01
-2.243780487804875046e-01 -2.465439373793737732e-01 -1.421957909014677224e-01
-2.233780487804875037e-01 -2.449764511915284715e-01 -1.414893122018649474e-01
-2.223780487804875028e-01 -2.434089650036831698e-01 -1.407828335022622002e-01
-2.213780487804875019e-01 -2.418414788158378403e-01 -1.400763548026594529e-01
-2.203780487804875010e-01 -2.402739926279925387e-01 -1.393698761030566780e-01
-2.193780487804875001e-01 -2.387065064401472370e-01 -1.386633974034539307e-01
-2.183780487804874992e-01 -2.371390202523019353e-01 -1.379569187038511835e-01
-2.173780487804874983e-01 -2.355715340644566336e-01 -1.372504400042484363e-01
-2.163780487804874975e-01 -2.340040478766113319e-01 -1.365439613046456613e-01
-2.153780487804874966e-01 -2.324365616887660024e-01 -1.358374826050429141e-01
-2.143780487804874957e-01 -2.308690755009207007e-01 -1.351310039054401668e-01
-2.133780487804874948e-01 -2.293015893130753990e-01 -1.344245252058373918e-01
-2.123780487804874939e-01 -2.277341031252300974e-01 -1.337180465062346446e-01
-2.113780487804874930e-01 -2.261666169373847957e-01 -1.330115678066318974e-01
